L. WĄTKÓW,L. MIAST,WIELKOŚĆ POPULACJI,L. POKOLEŃ,CZAS WYKONANIA,
1,100,50,10,1685526,11-1
2,100,50,10,1411701,11-2
4,100,50,10,1373483,11-4
8,100,50,10,1360702,11-8
,,,,,
1,500,50,10,73504041,31-1
2,500,50,10,41945947,31-2
4,500,50,10,27070634,31-4
8,500,50,10,25775216,31-8
,,,,,
1,100,100,10,4020926,33-1
2,100,100,10,3303909,33-2
4,100,100,10,3131004,33-4
8,100,100,10,3179381,33-8
,,,,,
1,500,100,10,145557350,32-1
2,500,100,10,85992390,32-2
4,500,100,10,71970985,32-4
8,500,100,10,54755121,32-8
